id_instalacion,codigo,nombre,descripcion,entidad_cargo
1,PONAL,Instalaciones Policiales,Salas de detención en estaciones y subestaciones de Policía Nacional,Policía Nacional
2,URI,Unidad de Reacción Inmediata (URI),Salas de detención transitoria de la Fiscalía General de la Nación,Fiscalía General de la Nación
